isin,wkn,ticker,valor,name,inception_date,age_in_days,age_in_years,strategy,domicile_country,currency,hedged,securities_lending,dividends,ter,replication,size,is_sustainable,number_of_holdings,yesterday,last_week,last_month,last_three_months,last_six_months,last_year,last_three_years,last_five_years,2024,2023,2022,2021,last_dividends,last_year_dividends,last_year_volatility,last_three_years_volatility,last_five_years_volatility,last_year_return_per_risk,last_three_years_return_per_risk,last_five_years_return_per_risk,max_drawdown,last_year_max_drawdown,last_three_years_max_drawdown,last_five_years_max_drawdown
IE00BDVJF675,A2DVWJ,PRFD,37811616,Invesco Preferred Shares UCITS ETF,2017-09-28,2700,7.397260273972603,Long-only,Ireland,USD,False,True,Distributing,0.5,Full replication,87,False,249,0.81,-0.93,-0.73,-0.65,5.86,7.01,8.07,1.29,12.2,4.83,-16.67,11.13,4.96,5.05,9.76,13.78,16.89,0.72,0.19,0.02,-31.17,-4.94,-22.97,-31.17
IE00BDGV0415,A2JSD1,USUE,43793149,UBS ETF (IE) MSCI USA Select Factor Mix UCITS ETF (USD) A-acc,2018-10-16,2317,6.347945205479452,Long-only,Ireland,USD,False,True,Accumulating,0.25,Optimized sampling,87,False,1919,4.41,-0.76,0.95,4.04,14.54,22.61,47.58,77.38,25.85,12.22,-8.11,34.27,,,13.42,16.8,21.4,1.68,0.82,0.57,-35.53,-6.71,-14.12,-35.53
IE00B435CG94,A0YHMQ,XLES,10854734,Invesco US Energy Sector UCITS ETF,2009-12-16,5543,15.186301369863013,Long-only,Ireland,USD,False,False,Accumulating,0.14,Swap based Unfunded,87,False,,4.57,-1.74,-5.72,-3.02,6.38,11.2,56.1,106.51,11.14,-4.6,73.1,66.63,,,19.52,26.5,37.11,0.57,0.6,0.42,-68.33,-15.91,-23.91,-58.09
LU1377382103,A2AL31,QUEU,32897503,BNP Paribas Easy ESG Quality Europe UCITS ETF,2016-06-07,3178,8.706849315068494,Long-only,Luxembourg,EUR,False,False,Accumulating,0.32,Swap based Unfunded,86,True,,8.62,1.93,6.44,11.38,9.18,11.59,23.57,38.33,4.08,20.87,-17.36,25.63,,,11.4,14.31,16.6,1.01,0.51,0.4,-33.36,-9.0,-19.22,-33.36
LU1169822266,A14MFB,UFMA,26751446,UBS ETF (LU) MSCI Japan UCITS ETF (hedged to EUR) A-acc,2020-06-25,1699,4.654794520547945,Long-only,Luxembourg,EUR,True,True,Accumulating,0.15,Full replication,86,False,191,0.36,2.07,3.34,3.57,5.62,10.51,63.02,,24.31,31.51,-5.03,13.0,,,24.4,19.72,,0.43,0.9,,-25.04,-25.04,-25.04,
IE000WX7BVB0,A3EHRD,JEGA,127485455,JPMorgan Global Equity Premium Income Active UCITS ETF USD (acc),2023-11-30,446,1.2219178082191782,"Long-only, Active",Ireland,USD,False,False,Accumulating,0.35,Full replication,86,False,249,5.45,-0.39,3.66,5.65,10.52,17.08,,,14.96,,,,,,9.04,,,1.88,,,-4.08,-4.08,,
LU2673523218,DBX0VA,XB27,130421175,Xtrackers II Target Maturity Sept 2027 EUR Corporate Bond UCITS ETF 1D,2023-11-08,468,1.2821917808219179,Long-only,Luxembourg,EUR,False,False,Distributing,0.12,Optimized sampling,86,True,374,0.62,0.04,0.73,0.89,2.58,5.6,,,4.25,,,,2.6,2.68,1.66,,,3.36,,,-0.94,-0.7,,
IE000MWUQBJ0,A3DN5E,H4ZZ,120091395,HSBC EURO STOXX 50 UCITS ETF EUR (Acc),2022-06-28,966,2.6465753424657534,Long-only,Ireland,EUR,False,True,Accumulating,0.05,Full replication,85,False,50,13.19,3.25,7.53,15.78,14.92,19.51,,,11.57,22.84,,,,,13.47,,,1.44,,,-13.71,-9.7,,
JE00BN7KB664,A3G8J7,OD7S,,WisdomTree Wheat,2006-09-27,6719,18.40821917808219,Long-only,Jersey,USD,False,False,Accumulating,0.49,Swap based,85,False,,7.65,1.41,9.07,9.63,12.2,0.33,-36.85,-20.91,-14.83,-30.21,1.69,22.35,,,26.16,36.91,33.47,0.01,-0.38,-0.14,-91.26,-31.81,-69.09,-69.09
LU2089238112,A2PWMJ,PRAZ,51509293,Amundi Prime Eurozone UCITS ETF DR (C),2020-01-15,1861,5.098630136986301,Long-only,Luxembourg,EUR,False,False,Accumulating,0.05,Full replication,85,False,195,11.35,2.56,6.43,13.61,13.03,17.65,35.5,51.65,9.89,20.09,-12.01,25.57,,,12.6,15.92,20.02,1.4,0.67,0.43,-39.21,-9.56,-19.14,-39.21
LU2491211004,A3DPYD,BQGE,,Ossiam Barclays Quantic Global E NR UCITS ETF 1C (EUR),2022-07-19,945,2.589041095890411,Long-only,Luxembourg,EUR,False,False,Accumulating,0.7,Swap based,85,True,,6.03,0.54,2.96,6.72,13.81,15.22,,,12.56,17.3,,,,,12.05,,,1.26,,,-13.52,-7.58,,
IE000QUCVEN9,A3ENM8,RIZD,129305559,Rize Global Sustainable Infrastructure UCITS ETF USD Dist,2023-08-17,551,1.5095890410958903,Long-only,Ireland,USD,False,False,Distributing,0.45,Full replication,85,True,77,1.71,0.64,2.15,-2.46,-1.25,3.49,,,-1.27,,,,0.0,0.0,9.95,,,0.35,,,-8.95,-8.95,,
IE0002PG6CA6,A3CRL9,VVMX,113690508,VanEck Rare Earth and Strategic Metals UCITS ETF A,2021-09-24,1243,3.4054794520547946,Long-only,Ireland,USD,False,False,Accumulating,0.59,Full replication,85,False,23,5.58,-1.15,-4.67,-5.94,15.3,-11.42,-56.48,,-30.99,-22.32,-26.25,,,,27.21,28.84,,-0.42,-0.84,,-70.93,-36.47,-70.93,
IE000PMX0MW6,A3DSTL,WELD,121145037,Amundi S&P Global Utilities ESG UCITS ETF DR EUR (A),2022-09-20,882,2.4164383561643836,Long-only,Ireland,EUR,False,True,Accumulating,0.18,Full replication,85,True,42,0.09,-0.28,-0.28,-1.67,2.42,15.34,,,10.66,2.03,,,,,11.45,,,1.34,,,-13.7,-7.66,,
IE000GGQK173,A3D4VW,R8T,125589092,abrdn Future Real Estate UCITS ETF USD Accumulating ETF,2023-02-22,727,1.9917808219178081,"Long-only, Active",Ireland,USD,False,False,Accumulating,0.4,Full replication,84,True,,2.24,-0.89,1.52,-0.4,4.58,9.48,,,5.02,,,,,,13.96,,,0.68,,,-15.41,-9.37,,
DE000A0H08F7,A0H08F,EXV8,12980561,iShares STOXX Europe 600 Construction & Materials UCITS ETF (DE),2002-07-08,8261,22.632876712328766,Long-only,Germany,EUR,False,False,Distributing,0.46,Full replication,84,False,30,10.12,2.52,8.07,7.93,12.24,17.39,36.02,60.26,6.6,34.28,-19.46,32.25,1.53,1.77,14.01,18.56,22.6,1.24,0.58,0.44,-66.59,-8.99,-23.64,-41.79
FR0012399806,LYX0R9,LYQ4,26422737,Amundi EURO STOXX 50 II UCITS ETF USD Hedged Acc,2015-01-07,3695,10.123287671232877,Long-only,France,USD,True,False,Accumulating,0.2,Full replication,84,False,52,11.89,1.18,5.27,16.78,21.11,24.42,69.86,82.49,20.76,21.13,-0.8,35.25,,,14.65,17.84,21.33,1.66,1.08,0.6,-39.09,-10.55,-10.75,-39.09
LU1659681586,A2PGAL,ZSRM,39365844,BNP Paribas Easy MSCI USA SRI S-Series PAB 5% Capped UCITS ETF EUR Acc,2019-02-15,2195,6.013698630136986,Long-only,Luxembourg,EUR,False,False,Accumulating,0.26,Full replication,84,True,113,1.39,-1.56,-1.72,0.34,9.71,14.1,33.2,81.6,17.64,18.63,-16.18,42.8,,,14.57,18.77,22.06,0.97,0.53,0.57,-32.13,-7.49,-17.47,-32.13
LU2572257470,ETF045,X026,124826945,Amundi MSCI Europe Small Cap ESG Climate Net Zero Ambition CTB UCITS ETF Dist,2023-03-10,711,1.9479452054794522,Long-only,Luxembourg,EUR,False,True,Distributing,0.23,Full replication,84,True,819,5.49,0.55,4.5,6.37,5.26,13.6,,,6.73,,,,2.39,2.65,12.15,,,1.12,,,-13.89,-6.86,,
IE0005POVJH8,A3EG2T,SWLH,128339447,SPDR MSCI World UCITS ETF GBP Hedged (Dist),2023-07-19,580,1.5890410958904109,Long-only,Ireland,GBP,True,True,Distributing,0.17,Optimized sampling,84,False,1381,4.85,1.28,4.44,6.55,13.27,23.92,,,25.57,,,,0.26,0.32,14.18,,,1.68,,,-10.61,-10.61,,
LU2408468291,A3C84J,AW1M,115441714,UBS ETF (LU) Bloomberg MSCI US Liquid Corporates 1-5 Year Sustainable UCITS ETF (hedged to EUR) A-acc,2022-03-31,1055,2.8904109589041096,Long-only,Luxembourg,EUR,True,False,Accumulating,0.25,Sampling,83,True,167,1.16,0.29,0.67,1.45,0.97,4.08,,,2.38,3.48,,,,,5.95,,,0.68,,,-7.32,-2.47,,
IE00BKKCKJ46,A2PWZJ,JGHY,51847225,JPMorgan Global High Yield Corporate Bond Multi-Factor UCITS ETF (acc),2020-02-04,1841,5.043835616438356,"Long-only, Active",Ireland,USD,False,False,Accumulating,0.35,Full replication,83,True,370,1.23,-0.6,0.04,2.9,8.35,12.11,21.68,20.23,13.21,7.27,-4.56,10.7,,,5.73,7.38,7.98,2.11,0.92,0.47,-19.73,-2.04,-6.88,-19.73
IE00BKW9SV11,A2PX9Y,IGBE,51970493,Invesco GBP Corporate Bond ESG UCITS ETF Dist,2020-02-25,1820,4.986301369863014,Long-only,Ireland,GBP,False,False,Distributing,0.1,Sampling,83,True,447,0.99,-0.28,2.9,2.39,4.07,8.92,-1.73,,7.46,11.89,-22.86,3.17,4.49,4.67,5.99,9.62,,1.49,-0.06,,-31.59,-4.2,-28.51,
LU0136242590,794362,UIM3,1272999,UBS ETF (LU) FTSE 100 UCITS ETF (GBP) A-dis,2001-10-31,8511,23.317808219178083,Long-only,Luxembourg,GBP,False,True,Distributing,0.2,Full replication,83,False,100,7.77,0.87,5.41,10.13,9.64,21.72,30.55,40.36,14.55,9.88,-1.0,26.37,3.35,3.93,10.24,13.28,18.7,2.12,0.7,0.37,-58.69,-5.9,-15.1,-39.57
IE00BVZ6SQ11,A14PHH,STYC,27252982,PIMCO US Short-Term High Yield Corporate Bond Index UCITS ETF Acc,2015-04-30,3582,9.813698630136987,Long-only,Ireland,USD,False,False,Accumulating,0.55,Sampling,83,False,717,0.86,-1.3,-0.9,3.4,10.08,13.2,29.97,30.65,15.33,7.95,0.82,13.5,,,7.24,8.29,8.61,1.82,1.1,0.64,-19.36,-2.41,-8.02,-19.36
IE00BYTRRC02,A2AGZ3,WNDU,30772902,SPDR MSCI World Industrials UCITS ETF,2016-04-29,3217,8.813698630136987,Long-only,Ireland,USD,False,True,Accumulating,0.3,Full replication,83,False,260,4.83,-0.46,0.96,3.19,12.88,19.29,49.33,68.89,20.3,18.82,-7.87,26.26,,,12.98,14.53,18.46,1.48,0.98,0.6,-38.55,-8.19,-14.67,-38.49
IE00BYTRRF33,A2AGTT,SS48,30773707,SPDR MSCI World Materials UCITS ETF,2016-04-29,3217,8.813698630136987,Long-only,Ireland,USD,False,True,Accumulating,0.3,Full replication,82,False,98,7.52,0.4,2.66,3.5,6.37,9.99,15.79,55.88,0.4,10.76,-5.29,25.99,,,14.65,16.39,19.31,0.68,0.31,0.48,-34.62,-9.41,-19.85,-34.39
LU1291108642,A2AL1S,EWRD,31064043,BNP Paribas Easy MSCI World SRI S-Series PAB 5% Capped UCITS ETF USD Acc,2016-02-26,3280,8.986301369863014,Long-only,Luxembourg,USD,False,False,Accumulating,0.26,Full replication,82,True,325,2.53,-1.0,-0.28,2.18,9.78,14.21,26.35,64.58,15.92,14.67,-15.87,37.21,,,12.23,15.13,17.98,1.16,0.54,0.58,-31.56,-7.33,-16.33,-31.56
IE00BG0TQB18,A2N38K,AT1D,43227399,Invesco AT1 Capital Bond UCITS ETF Dist,2018-09-24,2339,6.4082191780821915,Long-only,Ireland,USD,False,True,Distributing,0.39,Full replication,82,False,86,1.01,-1.53,-0.28,3.18,9.99,15.42,15.99,17.31,17.58,-1.33,-4.44,13.11,6.0,6.5,6.41,10.03,11.62,2.4,0.51,0.28,-28.63,-2.68,-22.66,-28.63
IE00BD4DX952,A144GB,XQUA,31103052,Xtrackers ESG USD Emerging Markets Bond Quality Weighted UCITS ETF 1D,2016-04-06,3240,8.876712328767123,Long-only,Ireland,USD,False,False,Distributing,0.45,Optimized sampling,82,True,314,1.12,-1.0,0.2,2.17,4.03,7.76,3.63,-4.01,5.79,4.05,-12.26,6.78,4.33,4.46,7.01,9.44,9.78,1.1,0.13,-0.08,-17.87,-2.62,-11.74,-17.87
DE000ETFL326,ETFL32,EL46,,Deka MSCI China ex A Shares UCITS ETF,2010-06-29,5348,14.652054794520549,Long-only,Germany,HKD,False,False,Distributing,0.66,Full replication,82,False,163,16.38,5.05,17.92,19.9,38.86,50.91,4.11,-7.13,26.75,-14.4,-13.18,-22.04,1.78,2.61,26.45,30.78,29.07,1.92,0.04,-0.05,-58.55,-16.82,-37.82,-58.55
IE00B598DX38,A1C790,DCCHAS,11926022,UBS ETF (IE) Bloomberg Commodity Index SF UCITS ETF (CHF) A-acc,2011-04-06,5067,13.882191780821918,Long-only,Ireland,CHF,True,False,Accumulating,0.19,Swap based,81,False,,7.31,1.87,2.6,9.78,12.39,13.06,7.19,54.55,-0.12,-6.79,18.38,30.74,,,13.32,19.06,18.13,0.98,0.12,0.5,-67.71,-8.15,-24.09,-24.09
IE00BL0BMZ89,A2P6EP,VVGM,55781390,VanEck Morningstar Global Wide Moat UCITS ETF,2020-07-07,1687,4.6219178082191785,Long-only,Ireland,USD,False,False,Accumulating,0.52,Full replication,81,False,70,7.79,1.98,5.17,9.69,14.4,21.76,30.2,,16.57,7.07,-5.89,24.01,,,10.45,13.91,,2.08,0.66,,-14.53,-5.85,-14.53,
IE000FPWSL69,WELT0B,K0MR,126210945,L&G Gerd Kommer Multifactor Equity UCITS ETF USD Distributing,2023-06-14,615,1.6849315068493151,Long-only,Ireland,USD,False,False,Distributing,0.5,Optimized sampling,81,True,3700,6.1,0.25,3.22,6.94,14.2,20.81,,,19.35,,,,1.19,1.41,11.03,,,1.88,,,-7.96,-7.96,,
DE000A0H08E0,A0H08E,EXV7,12980549,iShares STOXX Europe 600 Chemicals UCITS ETF (DE),2002-07-08,8261,22.632876712328766,Long-only,Germany,EUR,False,False,Distributing,0.46,Full replication,81,False,20,9.7,3.98,7.2,7.42,4.28,5.85,9.98,34.63,-7.12,16.5,-14.92,24.31,1.88,1.95,12.91,16.79,19.18,0.45,0.19,0.32,-47.76,-13.93,-18.66,-31.5
IE00BF0BCP69,A2DQ7M,ETLF,37470964,L&G All Commodities UCITS ETF,2017-07-11,2779,7.6136986301369864,Long-only,Ireland,USD,False,False,Accumulating,0.15,Swap based Unfunded,80,False,,6.42,-1.52,0.28,12.03,18.16,18.16,15.95,63.42,11.86,-11.33,23.06,37.47,,,12.92,17.14,17.05,1.4,0.29,0.6,-28.21,-13.25,-27.07,-27.07
IE00036F4K40,DBX0SM,XDG3,124206651,Xtrackers MSCI Global SDG 3 Good Health UCITS ETF 1C,2023-01-18,762,2.0876712328767124,Long-only,Ireland,USD,False,False,Accumulating,0.35,Full replication,80,True,115,4.4,-1.85,1.88,4.86,0.4,6.7,,,9.69,,,,,,11.83,,,0.56,,,-8.36,-6.84,,
LU0950381748,A1W15E,EEAA,21959270,BNP Paribas Easy FTSE EPRA/NAREIT Eurozone Capped UCITS ETF,2013-07-08,4243,11.624657534246575,Long-only,Luxembourg,EUR,False,False,Accumulating,0.41,Full replication,80,False,38,2.33,-1.88,2.2,-0.95,-0.95,9.86,-21.65,-30.97,-2.39,15.29,-32.59,6.42,,,17.51,24.01,24.36,0.56,-0.33,-0.29,-47.79,-16.13,-40.3,-47.79
GB00B15KY989,A0KRK9,OD7V,,WisdomTree Broad Commodities,2006-09-27,6719,18.40821917808219,Long-only,Jersey,USD,False,False,Accumulating,0.49,Swap based,80,False,,6.16,-1.56,0.18,11.04,17.22,16.98,12.91,58.36,10.64,-11.68,21.64,35.9,,,12.89,17.21,16.98,1.31,0.24,0.57,-65.71,-13.03,-28.5,-28.5
LU1324516050,A1439E,UEFS,30549809,UBS ETF (LU) Bloomberg USD Emerging Markets Sovereign UCITS ETF (USD) A-dis,2016-01-29,3308,9.063013698630137,Long-only,Luxembourg,USD,False,False,Distributing,0.25,Sampling,79,False,620,1.9,-0.81,0.42,4.16,9.5,15.07,13.7,2.99,14.69,7.87,-14.11,5.45,7.95,8.45,7.08,9.04,9.6,2.12,0.48,0.06,-21.28,-2.17,-12.6,-21.28
IE000TZT3JJ0,A3DMXS,JUKE,119070060,JPMorgan UK Equity Core UCITS ETF GBP (dist),2022-06-14,980,2.684931506849315,"Long-only, Active",Ireland,GBP,False,False,Distributing,0.25,Full replication,79,False,158,6.18,0.17,4.63,8.19,7.35,20.14,,,14.92,9.78,,,2.88,3.36,10.16,,,1.98,,,-15.06,-6.29,,
LU1834985845,LYX02J,LFOD,45472504,Amundi STOXX Europe 600 Consumer Staples UCITS ETF Acc,2006-08-18,6759,18.517808219178082,Long-only,Luxembourg,EUR,False,False,Accumulating,0.3,Swap based Unfunded,79,False,,3.7,1.08,4.8,3.61,0.77,-0.73,-8.64,-2.6,-3.65,-1.5,-12.96,23.42,,,10.13,13.06,15.45,-0.07,-0.23,-0.03,-40.25,-9.44,-18.34,-27.62
IE000HQY8R78,A3DMKU,AGGD,119003434,iShares Global Aggregate Bond ESG UCITS ETF USD Hedged (Acc),2022-05-25,1000,2.73972602739726,Long-only,Ireland,USD,True,False,Accumulating,0.1,Sampling,79,True,7349,-0.2,-0.98,-0.59,1.61,5.87,7.45,,,9.52,3.36,,,,,6.91,,,1.07,,,-12.27,-2.89,,
IE00BDS67326,A2DQKN,EM1C,36453832,VanEck J.P. Morgan EM Local Currency Bond UCITS ETF,2017-04-07,2874,7.873972602739726,Long-only,Ireland,USD,False,False,Accumulating,0.3,Sampling,79,False,387,2.26,-0.64,1.39,3.07,4.24,4.91,5.86,-3.76,2.93,7.36,-4.77,-2.12,,,5.88,7.47,8.36,0.83,0.26,-0.09,-17.8,-2.55,-8.15,-17.66
LU2037748345,A2PN77,AMEC,49558332,Amundi MSCI Smart Cities ESG Screened UCITS ETF - Acc,2019-10-01,1967,5.389041095890411,Long-only,Luxembourg,EUR,False,True,Accumulating,0.35,Full replication,79,True,141,4.78,0.16,1.75,6.38,14.65,21.54,9.66,12.69,17.13,0.83,-18.46,8.39,,,14.53,14.87,17.45,1.48,0.21,0.14,-34.86,-12.78,-18.34,-34.86
IE000MQ5XEW1,A404HN,XEXA,133403571,L&G Multi-Strategy Enhanced Commodities ex-Agriculture & Livestock UCITS ETF USD Accumulating,2024-04-25,299,0.8191780821917808,Long-only,Ireland,USD,False,False,Accumulating,0.3,Swap based Unfunded,79,False,,4.42,-1.98,-1.59,9.73,12.6,,,,,,,,,,,,,,,,-13.32,,,
LU1169830368,A14MGY,CHUSD,26688823,UBS ETF (LU) MSCI Switzerland 20/35 UCITS ETF (hedged to USD) A-acc,2020-06-24,1700,4.657534246575342,Long-only,Luxembourg,USD,True,True,Accumulating,0.23,Full replication,79,False,45,10.51,1.13,7.24,10.51,14.32,23.28,33.07,,16.46,6.18,-9.64,34.39,,,12.43,13.46,,1.87,0.74,,-13.51,-7.53,-13.51,
IE00BKWQ0K51,A1191U,SPYK,24767694,SPDR MSCI Europe Technology UCITS ETF,2014-12-05,3728,10.213698630136987,Long-only,Ireland,EUR,False,True,Accumulating,0.18,Full replication,79,False,17,11.82,2.45,4.25,19.56,9.69,7.85,39.94,66.72,8.9,35.1,-28.59,36.44,,,23.81,25.33,26.61,0.33,0.47,0.4,-38.53,-18.99,-26.77,-38.53
LU1435356149,LYX0V1,LYX8,32931687,Amundi USD High Yield Corporate Bond ESG UCITS ETF Dist,2016-07-05,3150,8.63013698630137,Long-only,Luxembourg,USD,False,False,Distributing,0.25,Sampling,79,True,843,0.56,-1.55,-1.06,2.68,9.06,13.0,21.51,19.54,14.59,7.51,-6.91,12.47,3.45,3.76,6.53,9.16,9.39,1.99,0.73,0.39,-21.54,-2.53,-9.68,-21.54
LU1681042435,A2H57Q,X135,38785077,Amundi MSCI Europe Growth UCITS ETF - EUR (C),2009-02-26,5836,15.98904109589041,Long-only,Luxembourg,EUR,False,False,Accumulating,0.35,Full replication,79,False,204,8.97,1.63,5.38,10.75,5.7,8.41,23.39,39.61,5.74,15.82,-17.95,27.57,,,13.12,15.23,17.32,0.64,0.48,0.4,-30.99,-9.56,-16.94,-30.99
IE00BG482169,A2N9VM,PRAC,45137147,Invesco Preferred Shares UCITS ETF A,2018-12-07,2265,6.205479452054795,Long-only,Ireland,USD,False,True,Accumulating,0.5,Full replication,79,False,249,0.77,-0.9,-0.7,-0.63,5.84,6.99,8.12,1.33,12.28,4.83,-16.69,11.18,,,9.72,13.8,16.9,0.72,0.19,0.02,-31.13,-4.9,-23.0,-31.13
IE00B6QGFW01,A1JTNB,IS0S,18127378,iShares Emerging Asia Local Government Bond UCITS ETF,2012-03-02,4736,12.975342465753425,Long-only,Ireland,USD,False,False,Distributing,0.5,Sampling,79,False,97,0.6,-0.8,0.11,2.52,5.84,8.7,8.93,6.3,7.91,1.8,-2.2,3.53,3.11,3.28,5.43,6.56,6.51,1.6,0.44,0.19,-17.57,-2.74,-8.84,-9.67
DE000TMG0LD6,TMG0LD,TMGD,,boerse.de Gold ETC,2021-05-17,1373,3.7616438356164386,Long-only,Germany,EUR,False,False,Accumulating,0.0,Physically backed,78,False,,9.83,0.3,7.16,16.13,24.9,51.61,66.88,,37.75,7.49,6.61,,,,22.68,17.38,,2.27,1.07,,-12.06,-7.16,-12.06,
IE000QVYFUT7,DBX0RZ,XIGB,120832150,Xtrackers India Government Bond UCITS ETF 1C,2022-09-06,896,2.4547945205479453,Long-only,Ireland,USD,False,False,Accumulating,0.33,Full replication,78,False,33,-1.07,-0.34,-0.93,0.17,5.19,6.15,,,12.33,2.6,,,,,6.28,,,0.98,,,-10.72,-3.0,,
IE00BYMS5W68,A2DHWJ,KFTK,34903333,Invesco KBW Nasdaq Fintech UCITS ETF Acc,2017-03-08,2904,7.956164383561644,Long-only,Ireland,USD,False,False,Accumulating,0.49,Swap based Unfunded,78,False,,4.39,-1.07,1.34,5.58,33.46,43.41,55.39,65.74,42.32,28.23,-27.64,18.68,,,18.77,23.97,26.69,2.31,0.66,0.4,-39.32,-8.7,-25.34,-39.32
LU1829218822,LYX0Z3,LYBF,42764457,Amundi EUR Corporate Bond ex-Financials ESG UCITS ETF Acc,2009-11-04,5585,15.301369863013699,Long-only,Luxembourg,EUR,False,False,Accumulating,0.14,Sampling,78,True,742,0.52,-0.17,1.0,0.92,2.57,5.27,-1.0,-4.17,3.41,7.34,-14.21,-1.65,,,3.32,5.34,5.27,1.58,-0.06,-0.16,-17.65,-2.11,-13.66,-17.65
IE000NVVIF88,A3DUNT,H41E,123262875,HSBC MSCI Emerging Markets Value ESG UCITS ETF USD (Acc),2022-12-07,804,2.202739726027397,Long-only,Ireland,USD,False,False,Accumulating,0.35,Full replication,77,True,196,4.51,0.86,4.51,7.28,10.21,20.44,,,17.86,12.77,,,,,14.74,,,1.38,,,-11.17,-11.17,,
IE00BJSBCS90,A2PPCG,GASF,49876432,Goldman Sachs Access China Government Bond UCITS ETF USD (Dist),2019-10-22,1946,5.331506849315068,Long-only,Ireland,USD,False,False,Distributing,0.24,Sampling,77,False,22,-0.29,-1.15,-0.9,2.63,5.66,5.79,6.3,17.97,8.5,-1.3,0.36,16.61,0.0,0.0,6.56,7.27,6.96,0.88,0.28,0.48,-13.65,-2.56,-13.65,-13.65
LU1349386927,DBX0QB,XDDA,118011363,Xtrackers DAX UCITS ETF 1D,2022-04-08,1047,2.8684931506849316,Long-only,Luxembourg,EUR,False,True,Distributing,0.09,Full replication,77,False,40,14.46,4.01,9.04,18.65,24.41,32.63,,,18.24,19.67,,,2.08,2.7,12.27,,,2.65,,,-18.36,-8.28,,
IE0007ULOZS8,DBX0S1,XZSP,123302668,Xtrackers S&P 500 Scored & Screened UCITS ETF 1C,2022-12-06,805,2.2054794520547945,Long-only,Ireland,USD,False,False,Accumulating,0.08,Full replication,77,True,314,2.13,-0.19,-0.36,3.74,13.57,25.03,,,31.53,23.0,,,,,14.52,,,1.72,,,-9.62,-9.62,,
LU0378818560,DBX0BC,KV4,10807154,Xtrackers II Singapore Government Bond UCITS ETF 1C,2010-05-11,5397,14.786301369863013,Long-only,Luxembourg,SGD,False,True,Accumulating,0.2,Sampling,77,False,21,1.07,-0.24,1.66,2.14,4.14,7.46,9.94,9.19,5.1,1.38,1.22,0.7,,,5.37,6.19,5.94,1.38,0.52,0.3,-16.54,-3.38,-6.83,-9.34
LU2089239193,A2PWMR,PRAS,51509348,Amundi Prime US Treasury UCITS ETF DR (C),2020-01-15,1861,5.098630136986301,Long-only,Luxembourg,USD,False,False,Accumulating,0.05,Full replication,77,False,290,-0.05,-1.6,-0.97,1.71,3.71,6.27,3.88,-1.18,7.13,0.35,-6.93,5.91,,,7.17,10.05,9.34,0.87,0.13,-0.03,-17.23,-2.92,-13.17,-17.23
IE0009TJ5T70,A40JGD,JPEC,136798675,JPMorgan Carbon Transition Global Equity (CTB) UCITS ETF EUR (acc),2024-10-15,126,0.3452054794520548,Long-only,Ireland,EUR,False,False,Accumulating,0.19,Full replication,77,True,418,4.55,0.51,2.02,7.26,,,,,,,,,,,,,,,,,-3.36,,,
CH1102728750,A3GRTN,ADAA,110272875,21Shares Cardano ETP,2021-04-26,1394,3.819178082191781,Long-only,Switzerland,USD,False,False,Accumulating,2.5,Physically backed,77,False,,-8.74,12.52,-29.46,24.02,155.4,35.76,-23.49,,44.07,141.07,-81.53,,,,94.69,81.28,,0.38,-0.1,,-91.43,-61.21,-80.58,
LU1598688189,LYX0W2,LGWT,37680163,Amundi MSCI Europe Growth UCITS ETF Dist,2005-04-01,7263,19.898630136986302,Long-only,Luxembourg,EUR,False,False,Distributing,0.35,Full replication,77,False,104,8.97,1.63,5.38,10.75,5.7,8.48,26.64,39.81,7.88,19.14,-19.89,23.79,0.62,0.67,13.31,19.54,20.88,0.64,0.42,0.33,-55.66,-9.57,-18.81,-35.52
IE00BMX0B524,A2P742,VGUE,56312230,Vanguard U.K. Gilt UCITS ETF EUR Hedged Accumulating,2020-08-28,1635,4.47945205479452,Long-only,Ireland,EUR,True,False,Accumulating,0.12,Sampling,76,False,60,1.21,-0.49,1.26,0.1,-3.77,-0.1,-25.54,,-5.77,1.49,-27.58,-5.95,,,7.84,13.09,,-0.01,-0.71,,-39.11,-8.68,-32.64,
IE0000ZVYDH0,A3DH0C,WELA,118413347,Amundi MSCI ACWI SRI PAB UCITS ETF DR USD (A),2022-07-21,943,2.5835616438356164,Long-only,Ireland,USD,False,False,Accumulating,0.2,Full replication,76,True,433,1.67,-0.77,-1.0,2.23,9.77,14.78,,,17.54,18.58,,,,,13.28,,,1.11,,,-14.56,-8.84,,
GB00B15KXX56,A0KRKW,OD7H,,WisdomTree Gold,2006-09-27,6719,18.40821917808219,Long-only,Jersey,USD,False,False,Accumulating,0.49,Swap based,76,False,,8.61,-2.27,3.32,13.13,20.16,44.98,55.52,67.93,33.28,7.02,3.73,2.71,,,16.34,15.7,16.74,2.74,1.01,0.65,-38.37,-6.2,-13.22,-20.05
JE00BP2PWW32,A3GTR6,WCO2,,WisdomTree Carbon,2021-08-18,1280,3.506849315068493,Long-only,Jersey,EUR,False,False,Accumulating,0.35,Swap based,76,False,,5.43,-7.42,-3.01,10.08,3.91,33.81,-17.11,,-9.34,-6.44,-0.87,,,,35.62,40.42,,0.95,-0.15,,-49.73,-20.67,-49.73,
